INSERT INTO order_items (order_item_id, order_id, product_id, quantity, unit_price, line_total) VALUES
(5001, 1656, 18, 1, 214.03, 214.03),
(5002, 1657, 27, 1, 7.83, 7.83),
(5003, 1657, 9, 2, 104.51, 209.02),
(5004, 1657, 85, 1, 101.27, 101.27),
(5005, 1658, 58, 1, 23.16, 23.16),
(5006, 1659, 1, 1, 49.01, 49.01),
(5007, 1660, 10, 1, 24.92, 24.92),
(5008, 1660, 27, 2, 7.83, 15.66),
(5009, 1660, 68, 1, 43.1, 43.1),
(5010, 1660, 49, 2, 93.93, 187.86),
(5011, 1661, 5, 2, 57.22, 114.44),
(5012, 1662, 97, 1, 163.05, 163.05),
(5013, 1662, 64, 1, 45.06, 45.06),
(5014, 1662, 63, 2, 18.63, 37.26),
(5015, 1663, 76, 1, 88, 88),
(5016, 1663, 34, 1, 137.45, 137.45),
(5017, 1663, 85, 1, 101.27, 101.27),
(5018, 1663, 96, 1, 204.68, 204.68),
(5019, 1664, 10, 1, 24.92, 24.92),
(5020, 1665, 12, 1, 210, 210),
(5021, 1665, 39, 1, 30.14, 30.14),
(5022, 1665, 36, 2, 246.85, 493.7),
(5023, 1666, 53, 1, 70.73, 70.73),
(5024, 1666, 66, 1, 45.11, 45.11),
(5025, 1667, 11, 1, 66.68, 66.68),
(5026, 1667, 57, 1, 119.96, 119.96),
(5027, 1667, 84, 1, 121.18, 121.18),
(5028, 1667, 2, 1, 286.27, 286.27),
(5029, 1667, 6, 1, 47.27, 47.27),
(5030, 1668, 2, 1, 286.27, 286.27),
(5031, 1668, 11, 2, 66.68, 133.36),
(5032, 1668, 89, 1, 7.79, 7.79),
(5033, 1668, 59, 1, 143.04, 143.04),
(5034, 1669, 56, 1, 8.62, 8.62),
(5035, 1670, 23, 1, 29.6, 29.6),
(5036, 1670, 96, 1, 204.68, 204.68),
(5037, 1670, 47, 1, 65.22, 65.22),
(5038, 1670, 80, 2, 42.94, 85.88),
(5039, 1671, 81, 1, 148.5, 148.5),
(5040, 1671, 99, 1, 22.03, 22.03),
(5041, 1671, 51, 2, 168.62, 337.24),
(5042, 1671, 76, 1, 88, 88),
(5043, 1672, 84, 1, 121.18, 121.18),
(5044, 1672, 22, 1, 8.68, 8.68),
(5045, 1672, 92, 1, 21.99, 21.99),
(5046, 1672, 7, 1, 92.4, 92.4),
(5047, 1673, 52, 1, 109.19, 109.19),
(5048, 1673, 45, 2, 95.04, 190.08),
(5049, 1673, 70, 1, 64.53, 64.53),
(5050, 1673, 51, 2, 168.62, 337.24),
(5051, 1673, 96, 1, 204.68, 204.68),
(5052, 1674, 27, 2, 7.83, 15.66),
(5053, 1674, 84, 2, 121.18, 242.36),
(5054, 1674, 72, 1, 202.94, 202.94),
(5055, 1674, 64, 1, 45.06, 45.06),
(5056, 1675, 30, 1, 22.73, 22.73),
(5057, 1675, 4, 1, 4.73, 4.73),
(5058, 1675, 97, 2, 163.05, 326.1),
(5059, 1675, 1, 2, 49.01, 98.02),
(5060, 1675, 36, 1, 246.85, 246.85),
(5061, 1676, 82, 2, 137.6, 275.2),
(5062, 1677, 1, 2, 49.01, 98.02),
(5063, 1677, 88, 1, 236.17, 236.17),
(5064, 1678, 63, 1, 18.63, 18.63),
(5065, 1678, 40, 1, 16.1, 16.1),
(5066, 1679, 15, 1, 28.1, 28.1),
(5067, 1680, 82, 1, 137.6, 137.6),
(5068, 1680, 35, 1, 169.71, 169.71),
(5069, 1680, 12, 1, 210, 210),
(5070, 1680, 66, 1, 45.11, 45.11),
(5071, 1680, 4, 2, 4.73, 9.46),
(5072, 1681, 61, 1, 59.88, 59.88),
(5073, 1681, 53, 1, 70.73, 70.73),
(5074, 1682, 7, 1, 92.4, 92.4),
(5075, 1682, 47, 1, 65.22, 65.22),
(5076, 1682, 53, 1, 70.73, 70.73),
(5077, 1682, 26, 1, 7.06, 7.06),
(5078, 1683, 75, 1, 31.87, 31.87),
(5079, 1683, 37, 2, 170.71, 341.42),
(5080, 1683, 25, 1, 5.04, 5.04),
(5081, 1683, 56, 1, 8.62, 8.62),
(5082, 1684, 49, 2, 93.93, 187.86),
(5083, 1684, 90, 2, 165.04, 330.08),
(5084, 1684, 30, 1, 22.73, 22.73),
(5085, 1685, 68, 1, 43.1, 43.1),
(5086, 1685, 81, 1, 148.5, 148.5),
(5087, 1685, 98, 2, 29.1, 58.2),
(5088, 1685, 31, 1, 31.59, 31.59),
(5089, 1685, 14, 1, 28.77, 28.77),
(5090, 1686, 60, 1, 121.26, 121.26),
(5091, 1686, 41, 1, 50.54, 50.54),
(5092, 1687, 73, 1, 99.9, 99.9),
(5093, 1688, 25, 2, 5.04, 10.08),
(5094, 1688, 52, 1, 109.19, 109.19),
(5095, 1688, 59, 1, 143.04, 143.04),
(5096, 1688, 68, 1, 43.1, 43.1),
(5097, 1689, 40, 1, 16.1, 16.1),
(5098, 1690, 78, 1, 71.33, 71.33),
(5099, 1690, 57, 1, 119.96, 119.96),
(5100, 1690, 2, 1, 286.27, 286.27),
(5101, 1690, 28, 1, 98.21, 98.21),
(5102, 1691, 69, 1, 253.24, 253.24),
(5103, 1691, 32, 2, 17.58, 35.16),
(5104, 1691, 25, 1, 5.04, 5.04),
(5105, 1692, 82, 1, 137.6, 137.6),
(5106, 1692, 88, 1, 236.17, 236.17),
(5107, 1692, 39, 1, 30.14, 30.14),
(5108, 1692, 29, 1, 83.33, 83.33),
(5109, 1693, 11, 1, 66.68, 66.68),
(5110, 1693, 43, 2, 118.81, 237.62),
(5111, 1693, 41, 1, 50.54, 50.54),
(5112, 1694, 26, 1, 7.06, 7.06),
(5113, 1694, 15, 1, 28.1, 28.1),
(5114, 1695, 92, 2, 21.99, 43.98),
(5115, 1695, 52, 2, 109.19, 218.38),
(5116, 1695, 33, 1, 196.95, 196.95),
(5117, 1696, 55, 1, 195.65, 195.65),
(5118, 1696, 52, 1, 109.19, 109.19),
(5119, 1696, 59, 2, 143.04, 286.08),
(5120, 1696, 23, 1, 29.6, 29.6),
(5121, 1696, 79, 2, 157.18, 314.36),
(5122, 1697, 68, 2, 43.1, 86.2),
(5123, 1697, 28, 2, 98.21, 196.42),
(5124, 1697, 31, 1, 31.59, 31.59),
(5125, 1697, 79, 1, 157.18, 157.18),
(5126, 1697, 18, 1, 214.03, 214.03),
(5127, 1698, 26, 2, 7.06, 14.12),
(5128, 1698, 63, 1, 18.63, 18.63),
(5129, 1698, 84, 2, 121.18, 242.36),
(5130, 1699, 75, 2, 31.87, 63.74),
(5131, 1700, 5, 1, 57.22, 57.22),
(5132, 1700, 7, 2, 92.4, 184.8),
(5133, 1701, 92, 1, 21.99, 21.99),
(5134, 1701, 17, 1, 42.64, 42.64),
(5135, 1702, 6, 1, 47.27, 47.27),
(5136, 1703, 53, 1, 70.73, 70.73),
(5137, 1704, 37, 2, 170.71, 341.42),
(5138, 1704, 64, 1, 45.06, 45.06),
(5139, 1705, 77, 1, 20.31, 20.31),
(5140, 1705, 82, 1, 137.6, 137.6),
(5141, 1705, 72, 2, 202.94, 405.88),
(5142, 1706, 3, 1, 31.12, 31.12),
(5143, 1706, 85, 2, 101.27, 202.54),
(5144, 1707, 68, 1, 43.1, 43.1),
(5145, 1707, 55, 1, 195.65, 195.65),
(5146, 1707, 64, 1, 45.06, 45.06),
(5147, 1707, 89, 1, 7.79, 7.79),
(5148, 1708, 73, 2, 99.9, 199.8),
(5149, 1709, 49, 1, 93.93, 93.93),
(5150, 1710, 61, 1, 59.88, 59.88),
(5151, 1710, 73, 1, 99.9, 99.9),
(5152, 1710, 74, 2, 15.23, 30.46),
(5153, 1711, 92, 2, 21.99, 43.98),
(5154, 1712, 42, 1, 185.19, 185.19),
(5155, 1712, 80, 1, 42.94, 42.94),
(5156, 1712, 3, 1, 31.12, 31.12),
(5157, 1713, 99, 1, 22.03, 22.03),
(5158, 1713, 64, 1, 45.06, 45.06),
(5159, 1713, 71, 1, 129.35, 129.35),
(5160, 1714, 92, 2, 21.99, 43.98),
(5161, 1714, 85, 1, 101.27, 101.27),
(5162, 1714, 98, 1, 29.1, 29.1),
(5163, 1715, 64, 2, 45.06, 90.12),
(5164, 1715, 85, 1, 101.27, 101.27),
(5165, 1715, 43, 1, 118.81, 118.81),
(5166, 1715, 21, 1, 31.11, 31.11),
(5167, 1715, 90, 2, 165.04, 330.08),
(5168, 1716, 68, 1, 43.1, 43.1),
(5169, 1716, 22, 1, 8.68, 8.68),
(5170, 1717, 13, 1, 230.5, 230.5),
(5171, 1717, 47, 1, 65.22, 65.22),
(5172, 1717, 83, 1, 92.79, 92.79),
(5173, 1717, 43, 2, 118.81, 237.62),
(5174, 1718, 6, 1, 47.27, 47.27),
(5175, 1719, 42, 1, 185.19, 185.19),
(5176, 1719, 30, 1, 22.73, 22.73),
(5177, 1720, 91, 1, 87.73, 87.73),
(5178, 1720, 64, 2, 45.06, 90.12),
(5179, 1721, 69, 1, 253.24, 253.24),
(5180, 1721, 63, 1, 18.63, 18.63),
(5181, 1722, 98, 1, 29.1, 29.1),
(5182, 1722, 84, 1, 121.18, 121.18),
(5183, 1722, 50, 1, 10.62, 10.62),
(5184, 1722, 23, 2, 29.6, 59.2),
(5185, 1722, 82, 2, 137.6, 275.2),
(5186, 1723, 42, 1, 185.19, 185.19),
(5187, 1724, 54, 1, 326.63, 326.63),
(5188, 1724, 55, 2, 195.65, 391.3),
(5189, 1724, 10, 1, 24.92, 24.92),
(5190, 1725, 44, 1, 108.52, 108.52),
(5191, 1725, 59, 1, 143.04, 143.04),
(5192, 1725, 49, 1, 93.93, 93.93),
(5193, 1726, 3, 1, 31.12, 31.12),
(5194, 1726, 97, 1, 163.05, 163.05),
(5195, 1726, 93, 1, 240.53, 240.53),
(5196, 1726, 20, 2, 239.67, 479.34),
(5197, 1726, 31, 2, 31.59, 63.18),
(5198, 1727, 42, 1, 185.19, 185.19),
(5199, 1728, 15, 1, 28.1, 28.1),
(5200, 1728, 7, 1, 92.4, 92.4),
(5201, 1728, 56, 1, 8.62, 8.62),
(5202, 1728, 51, 2, 168.62, 337.24),
(5203, 1729, 5, 1, 57.22, 57.22),
(5204, 1729, 73, 1, 99.9, 99.9),
(5205, 1729, 80, 1, 42.94, 42.94),
(5206, 1729, 50, 1, 10.62, 10.62),
(5207, 1730, 33, 1, 196.95, 196.95),
